sentiment,no,text
neg,1,begal rajalela jalan krakatau pukul korban masuk rumah sakit
neg,2,begal payudara aksi modus bekap remas
neg,3,karyawan indomaret korban begal begalmotor walikota
neg,5,aksi begal motor satu tewas
neg,6,begal medan manuver jalan kota terang terang gerak pagi malam terlalu resiko
neg,7,daerah simalingkar begal makin parah seram pulang malam
neg,8,banyak begal tidak solusi untk aman kota medan jangan biar sakit
neg,9,ikut lokasi rawan begal medan hati hati bung
neg,10,liat lihat kemaren banyak berita tipu olshop soal
neg,11,bodoh ngakunya bap nyata tipu publik biar lihat keren allah
neg,12,lihat kasus tipu marak hati hati beli tiket konser album jangan giur harga
neg,13,yarabb tipu macam anjing
neg,14,banyak kasus tipu online shop salah satu jual cd kpop kasus tipu on
neg,15,modus tipu atasnamakan institusi perintah sobatbkn lebih cerdas mem benar informasi main
neg,16,viral tipu arisan online bawa kabur uang m bln
neg,17,hati kawan modus tipu via sms
neg,18,tipu modus seleksi cpns ibu muda tebing rp juta
neg,19,seram begal seram keluar malam buat beli makan
neg,20,suami hati hati lho bu banyak modus tipu minta nomer hp lah pin bb lah nomor rekening
neg,21,hai adi waspada hadap tindak tipu mengatasnamakan go jek tidak beri
neg,25,banyak curi daerah sini was was
neg,26,korban curi motor paksa makan korban jiwa
neg,27,pergok curi pria hajar babak bur
neg,28,curi toko pria hajar mampus
neg,29,pura pura sholat eko curi uang kotak amal masjid gadak otak kontol
neg,31,bodoh anjeng pacar pria curi hp
neg,32,seram beeeet curi ngambil barang sepeda motor si babi parkir indomaret
neg,33,syariat qishash tegak bakal mikir laku aksi bunuh
neg,34,bunuh area kompleks rumah bukan hp nyata
neg,35,simbah darah bekas ceki mayat duga korban bunuh medan
neg,36,pasca ungkap komplot laku bunuh usaha airsoft gun jalan ahmad yani saw medan jumlah warga takut aman wilayah pusat toko lengkap olahraga
neg,37,motif bunuh zaman lucu bilang lucu tema cinta tema narkoba oke
neg,38,btw mantan kapolda sumut y klau tidak salah pernah brita bunuh or bunuh diri gimana tuh endingnya
neg,39,klau pendeta bunuh selingkuh senggami mati kamar mandi gereja tidak kamu kabar dasar mahluk kalabong
neg,40,lah bicara tanpa data bunuh diri nama tonton puluh juta rakyat indonesia lapor nya masuk polda sumut cuma proses ironis sekali
neg,41,lebih baik bunuh antek antek si maringan bahaya minhoo curi tani
neg,42,gila emg begal tuh otak mana sampe bunuh ibu hamil lebih parah anak lihat jelas gimana tembak tusuk nya
neg,43,polisi tangkap pria kasus tipu kedok pinjam uang
neg,44,muzdalifah lapor polisi kasus tipu benar nassar jangan lewat updetan sta
neg,47,tangkap polisi akibat laku bunuh wah tragis
neg,48,sempat lari polisi tangkap curi sepmor emas milik yusniar batas aceh sumut
neg,49,laku curanmor massa dua kawan curi sepeda motor kreta amuk massa jalan belat lurah sidorejo medan tembung kemarin malam nyawa dua selamat berkat sigap polisi kapolsek cut sei tuan kompol
neg,50,viral amen jalan siantar
neg,54,hahhaha curi sepeda motor gagal satu kampung hajar penyok
neg,57,babi untung rek cctv curi taik mampus lu lu curi
neg,58,kwkwkwk dasar tipu untung lu tangkap tugas satpam hahhah mampus dahh
neg,59,polisi menang aksi tipu internet
neg,60,sadiss beut bunuh anak lu hasil tangkap aparat t co rsfges
neg,61,terima pesan singkat modus tipu lapor polisi cepat polisi merespon lapor
neg,62,gila emg begal tuh otak mana sampe bunuh ibu hamil lebih parah anak lihat jelas gimana tembak tusuk nya allah anak kasihan moga tidak trauma lebih kamu de
neg,63,gila begal berani benar bawa pistol segala
neg,64,begal main lempar batu atas jembatan jalan tol gila betul
neg,65,biadab begal curi basmi bukan manusia
neg,68,ken kapoldasu perintah tembak tempat begal rampok tidak tau rawan aman malam
neg,73,bayang daerah simpang usu aman begal rajalela situ
neg,75,hati kalo ban mobil kamu bocor daerah modus anak usu kena begal mansyur
neg,76,ohya kapan drmansyur anak usu kena begal mansyur
neg,81,curi ponsel anak sekolah dekat kampus unika dua sangka tangkap warga turut kirim video kfc seti budi sangka jambret ponsel perempuan anak sekolah sma dua curi sebut kejar
neg,87,basmi ormas preman pungli mana sumut
neg,88,preman parkir liar basmi bonnet dishub tidak tindak
neg,89,wah wah benar asal jangan naik lupa sikap sumut perlu pimpin tegas bersih bersih pungli
neg,90,djoss yakin atas pungli gubernur sumutmau
neg,92,pungli sekolah swasta banyak misal anak sma wr supratman uang bimbel mata ajar sekolah sore hari guru sekolah padahal bos kok kutip uang siswa
neg,93,pungli jalan lintas sumatera wilayah camat tanjung pura kabupaten langkat laku pungli sopir truk lintas aceh
neg,94,mana pungli oknum ormas pemuda sungguh ironis duga ormas sebut deking oknum polisi akar tahun peras thr
neg,95,spsi rajalela minta bayar bongkar muat bukan bongkar sama kuli masuk pungli bang bil
neg,96,curi unimed hajar mahasiswa sampe kok
neg,97,daerah batas aceh banyak pungli kondisi kan
neg,98,cek jalan lintas timur batas riau berapa banyak pungli temu panjang jalan sebut
neg,107,makin rawan begal resah bagaimana
neg,108,cegah diutamakn terlalu banyak korban begal sendiri korban begal dekat terminal pinang baris tahun keri syukur selamat
neg,109,preman begal tukang hipnotis lengkap sini hidupmedan tingkat kriminalitas tinggi
neg,111,komplek rumah dulu banyak curi mohon atasinlah
neg,112,wah takut keluar malam banyak begal sera
neg,113,tidak tau lh wkwk banyak begal padang bulan seram keluar malam malam
neg,114,syukur tangkap jaring begal kemaren
neg,115,tangkap cur paok pulaknya curi rumah kosong pergok korban kurung kepung warga
neg,116,tadi dengar ribut ribut depan rumah takut curi
neg,118,curi datang malam malam wkwkwk
neg,120,curi teriak curi tangkap libat nampak vidio kok repot jangan lupa korban tinggal tempat
neg,121,curi nya tangkap hampir bln adu tidak tanggap serius pihak bri
neg,123,kawan sial curi mini market hakim warga aksi pergok
neg,124,kenpa hdup kota bnyak berani bohong dusta curi bnyak aaahhh pgn pindaaaaaaaaahhhh
neg,125,laporin pungli
neg,126,medan tidak aman tidak kota nyaman ubah kota tidak nyaman tindak kriminal mana mana pungli jalan raja lela pasar pasar asai preman anies sandi cuma diam
neg,128,wah wah benar asal jangan naik lupa sikap perlu pimpin tegas bersih bersih pungli
neg,133,daerah siantar banyak pungli gila
neg,135,kkkkkk banyak banyak korupsi pungli waduh mbelader batas bagan batu medan banyak pungli banyak cara modus
neg,136,depan kantor polsek medankota pungli jukir liar walaupun kapolres ganti kapolsek
neg,137,tugas parkir duga laku pungut liar pungli lokasi parkir pasar
neg,138,dagang pasar dame lurah pusat pasar medan resah pungli
neg,139,jajar kabinet turun lapang ecek tiap daerah tidak tengkulak or preman pasar suka pungli bermaen harga perintah pusat
neg,141,coba bunuh mulu deh masuk drama tidak
neg,142,taik pagi pagi tipu udah nelpon transfer atm gojek
neg,143,wah wah tipu bejibun
neg,144,ekor kes bunuh pandu grab tempoh hari saran provide lindung tiap driver h
neg,145,nyoblos pakai nyuruh lihat background agama nah gilir bom bunuh pakai ungkit
neg,147,besok rekontruksi bunuh bandar narkoba gelar
neg,149,polisi kerja cuma tidur begal mana mana malah tidak diurusin
neg,150,tugas benar dokter bukan autopsi mayat amp temu bunuh korban
neg,152,bunuh banyak dominasi rasa cemburu
neg,153,makin nyata konsep hancur amp bunuh rakyat kecil cara pelan tabung kg tidak subsidi gulir
neg,154,polres metro jakbar gelar konperensi pers kait tinggal akibat miras oplos dice
neg,155,mati kau curi anjing kena massa mampus
neg,156,aoyama gosho suka jahat sempurna bunuh ruang tutup dcfact
neg,157,astajim fitnah lebih kejam bunuh
neg,159,bunuh karakter mah
neg,165,tidak malu curi tweet biar tidak handsome tidak cantik jangan curi pulak sampah masyarakat
neg,166,curi sekongkol jatuh satu sama curi tunggal hasil sempurna
neg,167,hindar curi kunci pintu rapat rapat lumrah masuk tidak erti bh
neg,168,curi kotak infak nyaris tewas gebuk warga
neg,169,akibat warga rupa laku curi berat curat menga
neg,170,kasat reskrim polrestabes medan informasi abg korban begal tinggal dunia hoax
neg,171,asa main twitter buat baik an malah dijahatin sama om om brengsek
neg,172,duh driver taksi online hati bang banyak begal laku nekat kejam utungnya begal
neg,174,alas ibu larang pulang larut malam alas medan terlalu
neg,176,begal makin resah
neg,177,gagal gasak motor kelompok begal celurit liar jalan krakatau
neg,178,cara teknis begal jalan ambil motor ngambilnya jangan sampe tau punya kira pamer
neg,179,jatuh kabur begal massa aksi lapang golf ciperna radar cirebon
neg,181,akibat laku begal awat medis rumah sakit bhayangkara makassar sabtu dini
neg,182,laku curas sebut nama irsan alias barumbung warga jalan gatot subroto kota makassar ker
neg,183,kan kemaren pintu buat yoval tutup rapat minta kunci nya sama calon tuna
neg,184,pria korban begal jalan sisimangaraja pasuruan desacikadu
neg,185,begal telanjang
neg,186,polres metro bekas tangkap begal bacok warga
neg,187,buat begal wkwkwk begal hati paansih
neg,188,polres metro bekas tangkap begal bacok warga lantai komentar
neg,191,golok nancap dada korban duga bunuh berita nusabali bunuh mayat
neg,192,banyak laku huru hara sebar jahat banyak laku gaduh bunuh muncul mati m
neg,193,curi motor kampus usu makin gilak hati hati gengs
neg,194,berapa kata bukan bunuh tetek bengek khalayak minta adriana tahan nap
neg,195,rekonstruksi bunuh sadis utan laku tembak gilir
neg,196,ekor kes bunuh pandu grab tempoh hari saran provide lindung tiap driver
neg,197,bodoh kata bunuh manusia laku tidak mustahil heiji hattori
neg,198,ungkap kasus bunuh kawasan desa motif kawin ujung cerai proses cara hukum
neg,199,majikan tki adelina tuntut pasal bunuh dunia blog buruh tki
