sentiment,no,text
neg,1,begal merajalela di jalan krakatau sampai memukul korban hingga masuk rumah sakit
neg,2,begal payudara beraksi modusnya bekap remas
neg,3,karyawan indomaret korban begal begalmotor walikota
neg,5,aksi begal motor satu orang tewas
neg,6,begal di medan sudah biasa bermanuver di jalanan kota terang terangan mereka bergerak dari pagi malam terlalu beresiko
neg,7,di daerah simalingkar begal semakin parah ya jadi seram kalau pulang malam
neg,8,sudah banyak begal kenapa tidak ada solusi untk keamanan kota medan jangan biarkan penyakit ini
neg,9,berikut adalah lokasi rawan begal di medan hati hati bung
neg,10,kalau diliat lihat dari kemaren banyak berita penipuan olshop ya apalagi yang soal saya
neg,11,pembodohan apalagi ini ngakunya sudah di bap ternyata penipuan publik lagi biar terlihat keren ya allah ke
neg,12,lihat kasus penipuan yang lagi marak hati hati kalau mau beli tiket konser atau album ya jangan tergiur dengan harga
neg,13,yarabb penipuan macam apa ini anjing
neg,14,ada banyak kasus penipuan yang terjadi di online shop salah satunya penjualan cd kpop ini dia kasus penipuan on
neg,15,masih ada saja modus penipuan atasnamakan institusi pemerintah sobatbkn sudah lebih cerdas memilah kebenaran informasi jika main
neg,16,lagi viral penipuan arisan online bawa kabur uang m dalam waktu bln
neg,17,hati kawan modus penipuan lama via sms
neg,18,penipuan modus seleksi cpns ibu muda di tebing rp juta
neg,19,seram ya begal sekarang jadi seram keluar malam buat beli makan
neg,20,suami hati hati lho bu sekarang banyak modus penipuan minta nomer hp lah pin bb lah nomor rekening
neg,21,hai adi waspada terhadap tindak penipuan yang mengatasnamakan go jek pastikan anda tidak memberikan
neg,25,banyak pencurian di daerah sini saya jadi was was
neg,26,korban pencurian motor dengan paksa yang memakan korban jiwa
neg,27,kepergok mencuri pria ini di hajar sampai babak belur
neg,28,mencuri di toko pria ini dihajar sampai mampus
neg,29,pura pura sholat eko mencuri uang dari kotak amal di masjid gadak otak kontol
neg,31,bodoh anjeng demi pacar pria ini curi hp
neg,32,seram beeeet ada pencuri ngambil barang di sepeda motor waktu si babi lagi parkir indomaret
neg,33,kalau syariat qishash ditegakkan orang bakal mikir kali mau melakukan aksi pembunuhan lainnya
neg,34,pembunuhan di area kompleks rumah bukan karena hp saja ternyata ini penyebabnya
neg,35,bersimbah darah dan terdapat bekas cekikan mayat diduga korban pembunuhan baru medan
neg,36,pasca terungkapnya komplotan pelaku pembunuhan pengusaha airsoft gun di jalan ahmad yani kesawan medan kini sejumlah warga masih takut akan keamanan di wilayah pusat pertokoan perlengkapan olahraga
neg,37,motif pembunuhan zaman sekarang lucu kenapa saya bilang lucu karena temanya percintaan kalau temanya narkoba okelah
neg,38,btw mantan kapolda sumut y klau tidak salah yang pernah jadi brita waktu itu antara dibunuh or bunuh diri gimana tuh endingnya
neg,39,klau yang pendeta bunuh selingkuhan dan di senggami setelah mati di kamar mandi gereja tidak kamu kabarkan dasar mahluk kalabong
neg,40,nggak mungkin lah bicara tanpa data bisa bunuh diri namanya apalagi di tonton puluhan juta rakyat indonesia laporan nya sudah masuk di polda sumut cuma nggak di proses saja ironis sekali
neg,41,lebih baik dibunuh langsung ini antek antek si maringan sangat berbahaya minhoo ini pencuri di pertanian
neg,42,gila emg begal tuh otaknya kemana ya sampe bunuh ibu hamil lebih parahnya lagi ada anaknya dia lihat dengan jelas gimana di tembak dan di tusuk nya
neg,43,polisi tangkap pria di kasus penipuan berkedok peminjaman uang
neg,44,muzdalifah dilaporkan ke polisi karena kasus penipuan apakah benar nassar penyebabnya jangan lewatkan updetan sta
neg,47,suami dina lorenzo gathan ditangkap polisi ditemukan narkoba dan senjata api
neg,48,sempat lari polisi menangkap pencuri sepmor dan emas milik yusniar di perbatasan aceh sumut
neg,49,pelaku curanmor dimassa dua kawanan pencuri sepeda motor kreta diamuk massa di jalan belat kelurahan sidorejo medan tembung kemarin malam nyawa keduanya selamat berkat kesigapan polisi kapolsek percut sei tuan kompol
neg,50,viral pengamen jalanan siantar
neg,54,hahhaha pencurian sepeda motor digagalkan satu kampung dihajar sampai penyok
neg,57,babi untung saja terekan cctv pencuri itu taik mampus lu dapat lu pasti pencuri
neg,58,kwkwkwk dasar penipu untung lu ditangkap petugas satpam hahhah mampus dahh
neg,59,polisi menangkan aksi penipuan di internet
neg,60,sadiss beut pembunuhan anak untuk lu berhasil ditangkap aparat t co kali rsfges
neg,61,saya menerima pesan singkat ada modus penipuan dan saya melapor ke polisi dengan cepat polisi merespon laporan itu
neg,62,gila emg begal tuh otaknya kemana ya sampe bunuh ibu hamil lebih parahnya lagi ada anaknya dia lihat dengan jelas gimana di tembak dan di tusuk nya ya allah anaknya kasihan semoga tidak trauma berlebih ya kamu de
neg,63,gila begal berani benar sekarang bawa pistol segala
neg,64,begal sekarang main lempar batu dari atas jembatan ke jalan tol gila betul
neg,65,kebiadaban begal dan pencuri harus di basmi mereka bukan manusia lagi
neg,68,pengen itu kapoldasu juga perintahkan tembak di tempat begal perampok dia tidak tau kali ya sudah sangat rawan keamanan apalagi malam
neg,73,bayangkan saja daerah simpang usu yang selama ini aman sekarang begal merajalela disitu
neg,75,hati kalo ban mobil kamu sering bocor di daerah itu itu modus anak usu kena begal di dari mansyur
neg,76,ohya kapan aku baru saja dari drmansyur anak usu kena begal di dari mansyur
neg,81,pencurian ponsel anak sekolah di dekat kampus unika dua tersangka di tangkap warga menurut pengirim video kejadian mulai di kfc seti budi tersangka jambret ponsel seorang perempuan anak sekolah sma dua pencuri tersebut dikejar
neg,87,basmi ormas preman pungli dimana di sumut
neg,88,preman parkir liar akan kami basmi dari sekitaran bonnet kalau dishub tidak bertindak
neg,89,wah wah ini baru benar asal jangan ketika naik lupa bersikap seperti ini di sumut perlu pemimpin tegas dan bersih supaya bersih pungli
neg,90,djoss yakin bisa mengatasi pungli kalau jadi gubernur sumutmau
neg,92,pungli di sekolah swasta masih banyak misalnya anak saya di sma wr supratman ada uang bimbel mata pelajaran di sekolah pada sore hari gurunya dari sekolah itu juga padahal ada bos kok masih dikutip uang dari siswa
neg,93,pungli di  jalan lintas sumatera wilayah kecamatan tanjung pura kabupaten langkat saat melakukan pungli kepada sopir truk lintas aceh
neg,94,dimana pungli oleh oknum ormas kepemudaan sungguh ironis dan diduga ormas tersebut dideking oknum polisi karena sudah mengakar bertahun pemerasan thr dan lain
neg,95,spsi merajalela minta bayaran untuk membongkar muatan meskipun bukan dibongkar sama kuli mereka apakah ini termasuk pungli bang bil
neg,96,pencurian di unimed dihajar mahasiswa sampe pekok
neg,97,daerah perbatasan aceh masih banyak pungli tolong di kondisi kan
neg,98,cek jalan lintas timur dari perbatasan riau berapa banyak pungli yang di temui sepanjang jalan tersebut
neg,107,semakin rawan begal sangat meresahkan bagaimana ini
neg,108,pencegahan harus diutamakn sebab sudah terlalu banyak korban begal saya sendiri juga korban begal di dekat terminal pinang baris setahun lalu mengerikan syukur saya selamat
neg,109,preman begal tukang hipnotis semua lengkap ada disini hidupmedan tingkat kriminalitas tinggi
neg,111,di komplek rumahku dulu banyak kali pencuri mohon atasinlah
neg,112,wah takut keluar malam banyak begal berserakan
neg,113,tidak tau lh aku wkwk banyak kali begal di padang bulan ini seram saya keluar malam malam
neg,114,syukurlah sudah ditangkapi jaringan begal kemaren
neg,115,tertangkap pencurinya   paok kali pulaknya pencuri di rumah kosong terpergok korbannya kemudian dikurung dan dikepung warga
neg,116,tadi aku dengar ribut ribut depan rumahku takut kali aku nanti pencuri pula
neg,118,kenapa pencuri datangnya malam malam wkwkwk
neg,120,pencuri teriak pencuri tangkap semua yang terlibat dan nampak di vidio itu saja kok repot jangan lupakan korban meninggal di tempat
neg,121,pencuri nya sudah di tangkap tapi sudah hampir bln pengaduan saya tidak di tanggapi serius pihak bri tolong
neg,123,kawanan sepesialis pencuri mini market dihakimi warga setelah aksinya kepergok dikawasan duren sawit jakarta ironisnya da
neg,124,kenpa hdup di kota bnyak orang yang berani berbohong dusta pencuri dan masih bnyak lagi aaahhh pgn pindaaaaaaaaahhhh
neg,125,laporin itu pungli
neg,126,medan sudah tidak aman lagi tidak lagi menjadi kota yang nyaman tapi sudah berubah menjadi kota yang tidak nyaman tindakan kriminal dimana mana pungli dijalanan meraja lela pasar pasar dikuasai preman anies sandi cuma bisa diam
neg,128,wah wah ini baru benar asal jangan ketika naik lupa bersikap seperti ini perlu pemimpin tegas dan bersih supaya bersih pungli
neg,133,daerah siantar banyak pungli yang menggila
neg,135,kkkkkk sekarang juga banyak sangat banyak yang korupsi apalagi pungli waduh mbelader itu mulai perbatasan bagan batu sampai medan banyak pungli banyak cara dan modusnya
neg,136,di depan kantor polsek medankota masih ada pungli jukir liar walaupun kapolres sudah mengganti kapolsek
neg,137,orang petugas parkir yang diduga lakukan pungutan liar pungli di lokasi parkir pasar
neg,138,pedagang pasar dame kelurahan pusat pasar medan resah karena pungli
neg,139,semua jajaran kabinet harus sering sering turun lapangan langsung mengecek kesetiap daerah agar tidak ada lagi tengkulak or preman pasar yang suka pungli bermaen dengan harga yang sudah ditentukan oleh pemerintah pusat
neg,141,
neg,142,
neg,143,
neg,144,
neg,145,
neg,147,
neg,149,
neg,150,
neg,152,
neg,153,
neg,154,
neg,155,
neg,156,
neg,157,
neg,159,
neg,165,
neg,166,
neg,167,
neg,168,
neg,169,
neg,170,
neg,171,
neg,172,
neg,174,
neg,176,
neg,177,
neg,178,
neg,179,
neg,181,
neg,182,
neg,183,
neg,184,
neg,185,
neg,186,
neg,187,
neg,188,
neg,191,
neg,192,
neg,193,
neg,194,
neg,195,
neg,196,
neg,197,
neg,198,
neg,199,
