text,sentiment
cara teknis begal jalan ambil motor ngambilnya jangan sampe tau punya kira pamer,neg
jatuh kabur begal massa aksi lapang golf ciperna,neg
pria korban begal desa sidogiri pasuruan desacikadu,neg
begal rajalela jalan krakatau pukul korban masuk rumah sakit,neg
begal payudara aksi modus bekap remas,neg
karyawan indomaret korban begal begalmotor walikota,neg
aksi begal motor satu tewas,neg
daerah simalingkar begal makin parah seram pulang malam,neg
ikut lokasi rawan begal medan hati hati bung,neg
liat lihat kemaren berita tipu olshop soal,neg
bodoh ngakunya bap nyata tipu publik biar lihat keren allah,neg
yarabb tipu macam anjing,neg
kasus tipu online shop salah satu jual cd kpop kasus tipu on,neg
viral tipu arisan online bawa kabur uang m bln,neg
hati kawan modus tipu via sms,neg
tipu modus seleksi cpns ibu muda tebing rp juta,neg
seram begal seram keluar malam buat beli makan,neg
suami hati hati lho bu modus tipu minta nomer hp lah pin bb lah nomor rekening,neg
hai adi waspada hadap tindak tipu mengatasnamakan go jek beri,neg
warga daerah medan belakang kasus jambret curi motor mohon sidik terima kasih,neg
mantap polres ringkus jago curi motor,pos
curi daerah sini was was,neg
korban curi motor paksa makan korban jiwa,neg
pergok curi pria hajar babak bur,neg
curi toko pria hajar mampus,neg
pura pura sholat eko curi uang kotak amal masjid gadak otak kontol,neg
heboh curi mobil radio jamming,neg
bodoh anjeng pacar pria curi hp,neg
seram beeeet curi ngambil barang sepeda motor si babi parkir indomaret,neg
syariat qishash tegak bakal mikir laku aksi bunuh,neg
bunuh area kompleks rumah bukan hp nyata,neg
simbah darah bekas ceki mayat duga korban bunuh medan,neg
lebih baik bunuh antek antek si maringan bahaya minhoo curi tani,neg
polisi tangkap pria kasus tipu kedok pinjam uang,pos
muzdalifah lapor polisi kasus tipu benar nassar jangan lewat updetan sta,neg
anggota patroli polisi sektor kasokandel laksana patroli malam cegah c curat curas curanmor,pos
polisi tembak begal depan kampus usu,pos
tangkap polisi akibat laku bunuh wah tragis,pos
sempat lari polisi tangkap curi sepmor emas milik yusniar batas aceh sumut,pos
laku curanmor massa dua kawan curi sepeda motor kreta amuk massa jalan belat lurah sidorejo medan tembung kemarin malam nyawa dua selamat berkat sigap polisi kapolsek cut sei tuan kompol,pos
viral amen jalan siantar,neg
bangga kerja polisi sumut salut,pos
