sentiment,text
neg,cara teknis begal jalan ambil motor ngambilnya jangan sampe tau punya kira pamer
neg,jatuh kabur begal massa aksi lapang golf ciperna
neg,pria korban begal desa sidogiri pasuruan desacikadu
neg,begal rajalela jalan krakatau pukul korban masuk rumah sakit
neg,begal payudara aksi modus bekap remas
neg,karyawan indomaret korban begal begalmotor walikota
neg,aksi begal motor satu tewas
neg,daerah simalingkar begal makin parah seram pulang malam
neg,ikut lokasi rawan begal medan hati hati bung
neg,liat lihat kemaren berita tipu olshop soal
neg,bodoh ngakunya bap nyata tipu publik biar lihat keren allah
neg,yarabb tipu macam anjing
neg,kasus tipu online shop salah satu jual cd kpop kasus tipu on
neg,viral tipu arisan online bawa kabur uang m bln
neg,hati kawan modus tipu via sms
neg,tipu modus seleksi cpns ibu muda tebing rp juta
neg,seram begal seram keluar malam buat beli makan
neg,suami hati hati lho bu modus tipu minta nomer hp lah pin bb lah nomor rekening
neg,hai adi waspada hadap tindak tipu mengatasnamakan go jek beri
neg,warga daerah medan belakang kasus jambret curi motor mohon sidik terima kasih
neg,curi daerah sini was was
neg,korban curi motor paksa makan korban jiwa
neg,pergok curi pria hajar babak bur
neg,curi toko pria hajar mampus
neg,pura pura sholat eko curi uang kotak amal masjid gadak otak kontol
neg,heboh curi mobil radio jamming
neg,bodoh anjeng pacar pria curi hp
neg,seram beeeet curi ngambil barang sepeda motor si babi parkir indomaret
neg,syariat qishash tegak bakal mikir laku aksi bunuh
neg,bunuh area kompleks rumah bukan hp nyata
neg,simbah darah bekas ceki mayat duga korban bunuh medan
neg,lebih baik bunuh antek antek si maringan bahaya minhoo curi tani
neg,muzdalifah lapor polisi kasus tipu benar nassar jangan lewat updetan sta
neg,viral amen jalan siantar
neg,hahhaha curi sepeda motor gagal satu kampung hajar penyok
neg,curi hajar babak bur wkwkwwk kasihan
neg,babi untung rek cctv curi taik mampus lu lu curi
neg,kwkwkwk dasar tipu untung lu tangkap tugas satpam hahhah mampus dahh
neg,polisi menang aksi tipu internet
neg,sadiss beut bunuh anak lu hasil tangkap aparat t co rsfges
neg,gila begal berani benar bawa pistol segala
neg,begal main lempar batu atas jembatan jalan tol gila betul
neg,biadab begal curi basmi bukan manusia
neg,darurat jahat indonesia perintah tegas kapolri basmi jenis kjhatan judi narkoba begal cur curi hipnotis bagai
neg,pak selidik laku curi kendara sepeda motor khusus ibu ibu trimakasih
neg,selamat malam pak keluh kena curi kendara motor daerah sigumpar
neg,bayang daerah simpang usu aman begal rajalela situ
