,text
1,secara teknis begal itu dijalanan ambil motornya kalau aku ngambilnya jangan sampe ketauan yang punya nanti dikira pamer
2,terjatuh saat kabur begal dimassa beraksi di lapang golf ciperna
3,pria ini jadi korban begal di desa sidogiri pasuruan desacikadu
4,begal merajalela di jalan krakatau sampai memukul korban hingga masuk rumah sakit
5,begal payudara beraksi modusnya bekap remas
6,karyawan indomaret korban begal begalmotor walikota
8,aksi begal motor satu orang tewas
9,di daerah simalingkar begal semakin parah ya jadi seram kalau pulang malam
10,berikut adalah lokasi rawan begal di medan hati hati bung
11,kalau diliat lihat dari kemaren berita penipuan olshop ya apalagi yang soal saya
12,pembodohan apalagi ini ngakunya sudah di bap ternyata penipuan publik lagi biar terlihat keren ya allah ke
13,yarabb penipuan macam apa ini anjing
14,ada kasus penipuan yang terjadi di online shop salah satunya penjualan cd kpop ini dia kasus penipuan on
15,lagi viral penipuan arisan online bawa kabur uang m dalam waktu bln
16,hati kawan modus penipuan lama via sms
17,penipuan modus seleksi cpns ibu muda di tebing rp juta
18,seram ya begal sekarang jadi seram keluar malam buat beli makan
19,suami hati hati lho bu sekarang modus penipuan minta nomer hp lah pin bb lah nomor rekening
20,hai adi waspada terhadap tindak penipuan yang mengatasnamakan go jek pastikan anda tidak memberikan
21,saya warga daerah medan belakangan ini ada beberapa kasus jambret dan pencurian motor mohon disidik terima kasih
22,mantap polres ringkus jagoan pencurian motor
24,pencurian di daerah sini saya jadi was was
25,korban pencurian motor dengan paksa yang memakan korban jiwa
26,kepergok mencuri pria ini di hajar sampai babak belur
27,mencuri di toko pria ini dihajar sampai mampus
28,pura pura sholat eko mencuri uang dari kotak amal di masjid gadak otak kontol
29,heboh pencurian mobil menggunakan radio jamming
30,bodoh anjeng demi pacar pria ini curi hp
31,seram beeeet ada pencuri ngambil barang di sepeda motor waktu si babi lagi parkir indomaret
32,kalau syariat qishash ditegakkan orang bakal mikir kali mau melakukan aksi pembunuhan lainnya
33,pembunuhan di area kompleks rumah bukan karena hp saja ternyata ini penyebabnya
34,bersimbah darah dan terdapat bekas cekikan mayat diduga korban pembunuhan baru medan
35,lebih baik dibunuh langsung ini antek antek si maringan sangat berbahaya minhoo ini pencuri di pertanian
36,polisi tangkap pria di kasus penipuan berkedok peminjaman uang
37,muzdalifah dilaporkan ke polisi karena kasus penipuan apakah benar nassar penyebabnya jangan lewatkan updetan sta
38,anggota patroli kepolisian sektor kasokandel laksanakan patroli malam cegah c curat curas dan curanmor serta
39,polisi tembak begal di depan kampus usu
40,ditangkap polisi akibat melakukan pembunuhan wah tragis
41,sempat lari polisi menangkap pencuri sepmor dan emas milik yusniar di perbatasan aceh sumut
42,pelaku curanmor dimassa dua kawanan pencuri sepeda motor kreta diamuk massa di jalan belat kelurahan sidorejo medan tembung kemarin malam nyawa keduanya selamat berkat kesigapan polisi kapolsek percut sei tuan kompol
43,viral pengamen jalanan siantar
44,saya bangga dengan kinerja polisi sumut salut
45,mantap pak polisi kupas tuntas semua begal ini
46,hahhaha pencurian sepeda motor digagalkan satu kampung dihajar sampai penyok
47,salut pak polisi membantu orang tua yang mau nyebrang di jalan rame
48,pencuri di hajar sampai babak belur wkwkwwk kasihan
49,babi untung saja terekan cctv pencuri itu taik mampus lu dapat lu pasti pencuri
50,kwkwkwk dasar penipu untung lu ditangkap petugas satpam hahhah mampus dahh
51,polisi menangkan aksi penipuan di internet
52,sadiss beut pembunuhan anak untuk lu berhasil ditangkap aparat t co kali rsfges
53,saya menerima pesan singkat ada modus penipuan dan saya melapor ke polisi dengan cepat polisi merespon laporan itu
54,gila begal berani benar sekarang bawa pistol segala
55,begal sekarang main lempar batu dari atas jembatan ke jalan tol gila betul
56,kebiadaban begal dan pencuri harus di basmi mereka bukan manusia lagi
57,darurat kejahatan untuk indonesia harus ada perintah tegas dari kapolri tidak hanya basmi semua jenis kjhatan judi narkoba begal cur pencuri hipnotis dan sebagainya
58,kejadian pencurian motor kalau boleh usul pak polisi tiap orang memegang senjata masing basmi pencuri
59,pak polri tolong ini ditindak pencuri pencurian sudah berani beraksi di sirkuit balap cc
60,poldasu bnn telah berhasil menangkap pencurian di kota rantau prapat labuhan batu sumatera utara
61,pak tolong diselidiki para pelaku pencurian pada pengendara sepeda motor khususnya ibu ibu trimakasih
62,selamat malam pak saya ingin mengeluhkan mengenai pencurian kepada pengendara motor di daerah sigumpar
63,bayangkan saja daerah simpang usu yang selama ini aman sekarang begal merajalela disitu
64,pos satpam kalau bisa ditambah soalnya di lingkungan usu sekarang rawan pencurian min saran ukabar menurut kalian bagaimana dengan keamanan
65,hati kalo ban mobil kamu sering bocor di daerah itu itu modus anak usu kena begal di dari mansyur
66,kurang aman min ada pencuri pengamen orang gila pengemis menurut kalian bagaimana dengan keamanan di kampus usu saran
67,yang paling heboh tadi di fp ada pencuri kereta yang tertangkap
68,rindu kali memukul pencuri di teknik di pencurian speda motor di usu akses masuk usu yang bebas dan sistem keamanan yang
69,dua pencuri pelaku jambret di tangkap di hajar warga sampai babak belur nangis
70,polres asahan tangkap pencuri motor di lokasi
71,mencuri besi di hermes kelima pelaku di tangkap polisi
72,alhamdulillah orang yang mencuri motor mio ku sudah di tangkap
73,pengecut mereka sudah seperti preman basmi
74,basmi ormas preman pungli dimana di sumut
75,preman parkir liar akan kami basmi dari sekitaran bonnet kalau dishub tidak bertindak
76,wah wah ini baru benar asal jangan ketika naik lupa bersikap seperti ini di sumut perlu pemimpin tegas dan bersih supaya bersih pungli
77,djoss yakin bisa mengatasi pungli kalau jadi gubernur sumutmau
78,pungli di  jalan lintas sumatera wilayah kecamatan tanjung pura kabupaten langkat saat melakukan pungli kepada sopir truk lintas aceh
79,pencurian di unimed dihajar mahasiswa sampe pekok
80,daerah perbatasan aceh masih ada pungli tolong di kondisi kan
81,cek jalan lintas timur dari perbatasan riau berapa banyaks pungli yang di temui sepanjang jalan tersebut
82,pungli di lintas sumatra bukan semua dari preman tapi juga dari aparat lalu lintas silahkan saja cek di jalur lintas timur sepanjang jalan isinya pungli
83,pungli di lintas timur sumatera akan tetap subur pak karena sebagian besar pelakunya adalah aparat
84,terima kasih sudah mengamankan kasus pencurian didepan rumahku
85,terima kasih medan sudah aman terkendali begal
86,bagus kerjanya saya salut disaat semua orang libur ada yang menjaga keamanan jadi tidak takut ada pencuri
