text,actual
kasus duga pungli polmed anggota dprd sumut ditindaklanjuti,pos
min link lihat lanjut kasus tangan saber pungli khusus wilayah sumut,pos
tangkap koruptor  terlalu pungli korupsi sumut jenuh lihat laku jabat sana calon pilkada kapan maju sumut,neg
pungli selubung dunia didik utama oknum kait kepsek tempat dinas bekerjasama alas tidak setor mohon tindak lanjut usut tuntas kpk ri sumut,neg
waduh bagai daerah sumut gak pernah liat coba voting suara masyarakat liat anggota fpi pungli vs anggota tugas negara ngaku ayom msyrakat hasil tau,pos
mas pungli laku polisi putar ranto prapat sumut,neg
beda maling sama kamu sama sama suka curi beda kamu curi hati si,pos
preman kampung aur malak tahun lebih jalan gadai resto pst kota medan tutup total pakai seragam ipk pp fkppi spsi nya bentuk polda sumut,neg
gubernur sumut sama rombong dprd nya bagaimana tuh kalau preman maling wajar lha ngaku parte allah kok curi masuk surga kah,neg
tim saber pungli usut pungut parkir ilegal taman bunga siantar,neg
patut duga praktek korupsi pungli jual beli jabat makin masif sistematis kabupate tapanuli selatan sumut,neg
pungli sekolah eks kadis didik tapanuli utara hukum tahun bulan penjara,pos
tangkap tangan laku pungli terhdp jumlah kepsek mantan kad didik tapanuli utara jamel panjaitan tuntut bln penjara,pos
dokter tangkap kait pungli calon dokter bidan tapanuli selatan polisi sita uang rp juta hasil pungli sindosore,pos
moga kasus kasus perihal sangkut mantan jabat kab tapanuli tengah cepat laku periksa pak,neg
mbah soleh tiga jabat pemkab tapanuli utara seret adil kait korupsi alat sehat akibat buat tiga laku,neg
makin kesini makin nampak ambisius jabat partai bukan jabat rakyat,neg
jabat kok tidak tunduk hukum negara wenang nya aja kuasa,neg
lihat beri bantu kapolda sumut minta pihak menegement periksa kapolda sumatera utara irjen pol drs paulus waterpaw sama ketua bhayangkari daerah sumut jabat utama polda sumut unjung korban celaka bus pariwisatawa,pos
jelas warga medan haram hukum dukung parpol busuk kedok agama sang cetak jabat korup sumut,neg
teman teman sekolah keluarga nunggu e ktp satu dua tahun tidak padahal daftar kartu keluarga pak jarod siapa memang beda warga sumut jabat,neg
bukan warga sumut bagai rakyat jelata ktpnya tidak rasa sakit hina jabat negara,neg
tak pantas jabat publik ucap tengah masyarakat sumut keteter buat e ktp,neg
gembar gembor soal revolusi mental hasil mentang anggap penting jabat segala bau layan utama bak raja istimewa nmersatukan kasihan rakyat sumut,neg
masyarakat padanglawas sumut resah jalan provinsi palas mohon bapak tri tindak lanjut makasih atas perhati,neg
sumut ni mimpin resah mulu warga gara palak in,neg
kampung ganti tiba ketua dpc jelang pilkada bukan kader gerindra mantan manajer bank calon walikota pemko padangsidimpuan sumut kader resah ketua jatuh sakit kok mahar tidak mungin lah nehi,neg
masyarakat resah tidak nyaman atas tindak kumpul driver lokasi dkt kampus usu medan sumut jalan berdikari no lurah titi rantai,neg
temu warga martubung buat sadar baik sumut warga resah kondisi pasar jalan makin parah sedih tidak adu siapa,neg
bengkel status tak jelas tahun oknum polisi inisial ys anggota intel polsek cut mmbuat polusi asap bakar cat bau las danlain-lain wrga sngat resah oknum trsbut rasa kebal hukum mohon tegak adil pak kapolda sumut,neg
yomin benar berita berkas sumut masalah yomin blg kmren sumut aman gruop wa kok info masalah min bantu min buat resah,neg
minta uang muka garap proyek kontraktor sumut resah,neg
bagus mati aja sudah resah begal sumut biar mati ,neg
masyarakat resah laku mutilasi liar,neg
aksi teror mapolda sumut anggap buat gaduh resah umat islam,neg
kasus mutilasi tapanuli selatan belum ungkap,neg
akhir buron laku tiga kasus mutilasi bengkal tangkap sumut,pos
laku mutilasi rupat utara tangkap polisi sumut,pos
kubur semen sopir angkot mutilasi jasad sopyan lubis,neg
bunuh area pt thip bukan hp nyata,pos
info himbauan mobil cc kecil tidak lewat tol fungsional salatiga arah solo karna sulit medan tanjak derajat tetap utama selamat,pos
bawa sabu ibu rumah tangga aman sat narkoba tanjungbalai,pos
omong walikota medan bengkalai bangun jalan kota medan bangun  asal  tidak atur bilang selesai akhir tahun walikota medan bohong rakyat walikota nya duit,neg
rasa baca lapor investigasi kasus bunuh ngantuk ngantuk ini baca worthed sangat,pos
aparat medan gemetar pada takut pakai baju rompi orange,neg
akhir salah satu borok kota medan bagai warga medan tidak malu juluk medan kota juta lobang pimpin aja tidak punya malu,neg
rusak kota medan dari dulu masalah jalan dr tahun berapa aja malah makin parah perlu keras pak perlu langsung copot,neg
dosa malu iri  bosan liat rival juara masuk bui ingat jangan ikut kata pak polisi tiru,neg
bentuk dukung jaksa hakim hukum dua laku adil adil,pos
hari sejarah jam densus serentak tangkap teroris daerah,pos
sama begal keluarga kena pikir tidak bakal ngomong jangan main hakim sendiri makan begal bakar aja,neg
tembak mati aja begal sadis tidak prikemanusia mati tangkap masarakat penjara keluar buat bawa kawan  buat,neg
begal baca kalian anak haram bangsat berani tangan kosong sini datang air putih,neg
simbah darah bekas cekik mayat duga korban bunuh medan medan,neg
kalau begal tangkap warga bicara jangan main hakim sendiri begal tangkap warga main hakim sendiri lintas sumatera,neg
 satu bunuh laku jam pagi taman main mangsa ajar umur tahun percaya bunuh,neg
