Unnamed: 0,no,text
0,1,begal payudara aksi medan modus bekap remas
1,2,karyawan indomaret korban begal begalmotor walikota
2,3,aksi begal motor satu tewas
3,4,korban begal payudara trauma teamfollowback followme
4,5,korban begal payudara trauma
5,6,tipu instagram by lisalee
6,7,wkwkw drama tipu sungguh tarik u baca bagai nikmat air kamu teh baik minggu akwkwkwkwkwkk
7,8,makin banyak liat tipu kek banyak kena wannable
9,10,liat lihat kemaren banyak berita tipu olshop soal
10,11,remaja tahun berkas tipu aksesori growtopia
11,12,yup takut manfaat momen tren bitcoin tipu gitu gitu
12,13,me cerita kasus tipu si mbak hwangable capai jet mami mami makanya beli albu
13,14,lokasi daerah indramayu camat sliyeg kampung desa sleman harap hati modus tipu kedok tugas sehat puskesmas pen
14,15,nina zatulini bantu suami klarifikasi kasus tipu
15,16,bodoh ngakunya bap nyata tipu publik biar lihat keren allah
16,17,bocah ingus nipu nyata
17,18,sama rawan tipu album tips biar tidak kena
18,19,lihat kasus tipu marak hati hati beli tiket konser album jangan giur harga
19,20,ayat tipu jap tengah siap takda kredit lah tidak study otw
20,21,yarabb tipu macam
22,23,telepon nomor tidak kenal lima detik pertama duga tipu memang benar tipu rumah sakit
23,24,banyak kasus tipu online shop salah satu jual cd kpop kasus tipu on
25,26,waspada hadap tindak tipu mengatasnamakan pln lengkap administrasi hindar transaksi
26,27,check out this item i found on lazada xiaomi redmi note a ram gb rom gb banyak peni
27,28,pt sandipala lapor polisi tuduh tipu gugat adil ancam bunuh danseterusnya lapor
29,30,suami hati hati lho bu banyak modus tipu minta nomer hp lah pin bb lah nomor rekening
31,32,waspada hadap tindak tipu mengatasnamakan pln lengkap administrasi hindar transaksi uang
32,33,kaget dulu pernah order alhamdulillah nyampe
36,37,modus tipu atasnamakan institusi perintah sobatbkn lebih cerdas mem benar informasi main
37,38,bukti transfer lapor polisi biar beku terang tipu pr
38,39,hati tipu please like and share biar tau barusan hampir korban nelpon bilang
41,42,tipu bahaya ialah tipu diri sendiri hati ianya salah xendah pegang l
42,43,baris nasional sentiasa telus laku pilih raya dap sahaja laku
47,48,tipu sampe juta mah banget denger fandom kpop tembus tengah milyar begini bar
51,52,new post ikut seret nama atas kasus tipu jual beli tanah nyata laudya c bella tolak
54,55,viral tipu arisan online bawa kabur uang m bln
58,59,kasus tipu heboh buk a k a lala a k a cika pegang fanbase banyak ter
59,60,btw gaes salah satu informan sebut sama kasus jypnation bangkok yah sifat
60,61,tipu jilake time rentas desa member weii lari sama eh hooman okay jangan laju sa
61,62,buat teman teman apply job lewat situs lowong kerja hati hati banyak modus tipu kedok panggil
62,63,papi kok terima agen tipu kaya begini sih
63,64,video uplod delete username ganti selanjutnyaa de aktif ganti baju doang kaya kadal kebon me
69,70,hati hati guys obviously uang bakal keluarin buat bayar tiket bakal ditilep sama si assigned tra
70,71,proses emang mirip panggil interview ngerti sih memang butuh kerja kayak panggil per
72,73,hati hati guys obviously uang bakal keluarin buat bayar tiket bakal ditilep sama si assigned travel agen
75,76,dusta tipu bohong
76,77,nah aye sepakat banget utara waspada tipu modus barang kirim m
77,78,bohong tipu bohong
81,82,tolak tawar cegah tipu mengatasnamakan bca mohon informasi bapak beri data
83,84,thread tipu beware yah punya thread kronologi reply dikumpulin sini bantu retweet
89,90,hahaha okay jer nohal lah dunia ni penuh pancaroba tipu tindas judge seba
94,95,kasus tipu panjang sejarah kpop sini goes to hwangable tara sama kasus korupsi
